Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
130-101,"Hirtshals, Denmark",1892,2011,120,96,-0.17,0.21,-0.06,0.07,57.6000,9.9667
130-121,"Esbjerg, Denmark",1889,2011,123,98,1.23,0.26,0.40,0.08,55.4667,8.4333
140-012,"Cuxhaven 2, Germany",1843,2008,166,100,2.53,0.16,0.83,0.05,53.8667,8.7167
160-011,"Zeebrugge, Belgium",1942,2010,69,72,2.35,0.39,0.77,0.13,51.3500,3.2000
160-021,"Oostende, Belgium",1937,2010,74,93,1.78,0.25,0.58,0.08,51.2333,2.9167
160-031,"Nieuwpoort, Belgium",1943,2010,68,67,2.53,0.44,0.83,0.14,51.1500,2.7333
170-001,"Lerwick, UK",1957,2011,55,91,-0.02,0.41,-0.01,0.14,60.1500,-1.1333
170-011,"Aberdeen I & II, UK",1862,2011,150,91,0.72,0.09,0.24,0.03,57.1500,-2.0833
170-053,"North Shields, UK",1895,2011,117,94,1.91,0.14,0.63,0.05,55.0000,-1.4333
170-101,"Sheerness, UK",1832,2009,178,54,1.66,0.10,0.55,0.03,51.4500,0.7500
170-161,"Newlyn, UK",1915,2011,97,99,1.76,0.17,0.58,0.06,50.1000,-5.5500
170-251,"Stornoway, UK",1977,2011,35,89,1.92,0.94,0.63,0.31,58.2000,-6.3833
175-071,"Dublin, Ireland",1938,2009,72,99,0.07,0.42,0.02,0.14,53.3500,-6.2167
190-001,"Dunkerque, France",1942,2011,70,59,1.71,0.40,0.56,0.13,51.0500,2.3667
190-051,"Le Havre, France",1941,2011,71,57,2.45,0.52,0.80,0.17,49.4333,0.1000
190-091,"Brest, France",1807,2011,205,89,1.05,0.08,0.34,0.03,48.3833,-4.5000
190-141,"Socoa, France",1942,2011,70,56,1.40,0.58,0.46,0.19,43.4000,-1.6833
200-030,"La Coruna, Spain",1943,2010,68,97,1.53,0.43,0.50,0.14,43.3667,-8.4000
210-021,"Cascais, Portugal",1882,1993,112,93,1.27,0.15,0.42,0.05,38.6833,-9.4167
210-031,"Lagos, Portugal",1908,1999,92,78,1.50,0.24,0.49,0.08,37.1000,-8.6667
220-003,"Cadiz III, Spain",1961,2010,50,97,4.02,0.74,1.32,0.24,36.5333,-6.2833
220-011,"Algeciras, Spain",1943,2002,60,81,0.43,0.30,0.14,0.10,36.1167,-5.4333
220-031,"Malaga, Spain",1944,2010,67,82,0.65,0.50,0.21,0.16,36.7167,-4.4167
230-051,"Marseille, France",1885,2011,127,97,1.25,0.14,0.41,0.05,43.3000,5.3500
250-011,"Genova, Italy",1884,1997,114,78,1.20,0.14,0.39,0.05,44.4000,8.9000
270-061,"Trieste, Italy",1905,2011,107,94,1.27,0.20,0.42,0.06,45.6474,13.7585
280-006,"Rovinj, Croatia",1955,2009,55,99,0.58,0.46,0.19,0.15,45.0833,13.6283
280-011,"Bakar, Croatia",1930,2009,80,86,0.97,0.36,0.32,0.12,45.3000,14.5333
280-021,"Split Rt Marjana, Croatia",1952,2009,58,99,0.28,0.48,0.09,0.16,43.5083,16.3917
280-031,"Split Harbour-Gradska Luka, Croatia",1954,2009,56,100,0.62,0.48,0.20,0.16,43.5067,16.4417
280-081,"Dubrovnik, Croatia",1956,2009,54,99,1.02,0.45,0.33,0.15,42.6583,18.0633
290-017,"Katakolon, Greece",1969,2011,43,89,1.81,0.66,0.59,0.22,37.6333,21.3167
290-021,"Kalamai, Greece",1969,2011,43,78,4.37,0.58,1.43,0.19,37.0167,22.1333
290-034,"Khalkis North, Greece",1969,2011,43,88,0.35,1.02,0.11,0.34,38.4667,23.6000
290-051,"Thessaloniki, Greece",1969,2011,43,90,3.73,0.80,1.22,0.26,40.6167,23.0333
290-065,"Alexandroupolis, Greece",1969,2011,43,88,1.78,0.81,0.58,0.27,40.8500,25.8833
290-071,"Khios, Greece",1969,2011,43,88,3.58,0.87,1.17,0.28,38.3833,26.1500
290-091,"Leros, Greece",1969,2011,43,79,1.06,0.71,0.35,0.23,37.0833,26.8833
290-110,"Rodhos, Greece",1969,2011,43,69,0.91,1.19,0.30,0.39,36.4333,28.2333
295-021,"Bourgas, Bulgaria",1929,1996,68,86,1.91,0.90,0.63,0.30,42.4833,27.4833
295-051,"Varna, Bulgaria",1929,1996,68,95,1.22,0.85,0.40,0.28,43.1833,27.9167
