Station Name, Upper95%, Lower95%, Trend Value
"Xiamen, China",1.68,0.56,1.122
"Keelung II, Taiwan",1.24,-0.32,0.458
"Naha, Japan",2.9,1.45,2.178
"Nagasaki, Japan",2.61,1.78,2.198
"Kanmen, China",2.21,1.44,1.827
"Lusi, China",5.59,4.36,4.974
"Jeju, South Korea",5.84,4.86,5.352
"Mokpo, South Korea",3.9,2.81,3.352
"Dalian, China",2.59,1.54,2.063
"Qinhuangdao, China",0.59,-0.66,-0.037
